[Tue Jul 31 00:36:05 2018] [notice] Apache/2.2.11 (Win32) PHP/5.3.0 configured -- resuming normal operations
[Tue Jul 31 00:36:05 2018] [notice] Server built: Dec 10 2008 00:10:06
[Tue Jul 31 00:36:05 2018] [notice] Parent: Created child process 13020
[Tue Jul 31 00:36:05 2018] [notice] Child 13020: Child process is running
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Acquired the start mutex.
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Starting 64 worker threads.
[Tue Jul 31 00:36:06 2018] [notice] Child 13020: Starting thread to listen on port 80.
[Tue Jul 31 00:38:35 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/favicon.ico, referer: http://localhost/facebook%20home%20page/home%20page.php
[Tue Jul 31 00:51:49 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/lllg.png, referer: http://localhost/facebook%20home%20page/home%20page.php
[Tue Jul 31 00:51:50 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/lllg.png, referer: http://localhost/facebook%20home%20page/home%20page.php
[Tue Jul 31 00:53:13 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/lllg.png, referer: http://localhost/facebook%20home%20page/home%20page.php
[Tue Jul 31 01:06:16 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:11:31 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:12:58 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:18:57 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:20:20 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:20:38 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:22:40 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:25:03 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:28:12 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
[Tue Jul 31 01:28:48 2018] [error] [client 127.0.0.1] File does not exist: C:/wamp/www/facebook home page/sr.png, referer: http://localhost/facebook%20home%20page/home.css
